CountryName,CountryCode,Indicator Name,Indicator Code,GDP1990,GDP1995,GDP2000,GDP2005,GDP2011,GDP2017,A1990,A1995,A2000,A2005,A2011,A2017
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.961401727,2.547143909,7.616588194,1.214349349,3.44605475,1.999999104,,,,,,
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,11.22971484,0.426354793,2.647003202,65.48679165,65.17951271,64.922462,64.52268271,66.83572711,56.91080835
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-3.450098684,15.00000003,3.054624234,15.02891532,3.471976345,-0.147212941,36.44811599,35.60290817,36.18296788,34.96291205,33.10419463,32.38850491
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-9.575640169,13.32233332,6.950036134,5.529914809,2.545321845,3.802197488,22.71866324,22.02921828,21.99824816,21.57525796,22.77253665,18.20060252
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.78138759,2.757499187,3.528361297,5.397795985,-0.008069753,0.34607189,14.11874161,13.93686693,12.59401471,12.96137804,13.27350555,10.30762139
Arab World,ARB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,13.12682804,2.748955096,5.496228172,5.747402351,3.748900536,0.820846517,53.30026606,52.5434089,53.06307567,52.39525059,52.65227869,58.68925861
United Arab Emirates,ARE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,18.32798553,6.687886464,10.85270421,4.855141196,6.930271629,2.373536708,39.82462869,39.77842718,39.69880052,38.98906239,39.1934301,40.91750982
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.467213776,-2.845209611,-0.788998939,8.85165992,6.003951693,2.818502972,16.22053017,16.84606475,16.78094792,16.40308536,17.38298213,13.31183395
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,6.89999842,5.900000003,13.9,4.699999999,7.500000002,36.8607211,35.12094162,36.79644697,37.06872924,38.61227522,32.52811834
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,-0.401606426,0.293685756,-5.85443038,12.47908266,12.47908266,15.21466797,15.23784168,15.39064186,12.47382024
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.011714686,-4.359587382,6.203431254,6.473831316,-1.958612628,3.145543603,22.40856353,22.45159506,21.97611804,22.13432961,23.1478617,18.62234285
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.570998147,3.837755293,3.933136945,3.204269793,2.462756312,2.300610624,10.41185463,10.42639658,10.84372366,10.59713361,11.04726492,8.550324401
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.345641399,2.667983531,3.375722147,2.244065325,2.922797284,2.399587603,16.86668825,15.70612581,15.35536282,15.59206265,15.57337093,12.47796673
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,-11.79999973,11.0999995,27.96153807,-1.572997621,0.153614647,23.94291482,23.39142886,22.880772,22.86570599,23.6298688,19.92866362
Burundi,BDI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.49982214,-7.920000004,-0.856864058,0.900000001,4.032602496,0.500009999,41.24888833,40.0095359,40.95578012,40.14781299,38.23619121,38.89626795
Belgium,BEL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.137402316,2.38475728,3.716679384,2.321737054,1.694513899,1.608086835,17.58749643,16.49606572,15.66245122,15.43635146,15.69844257,12.88651847
Benin,BEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.976134361,6.045198648,5.857714205,1.713164564,2.963752919,5.671555469,40.2201361,38.07847163,39.77629324,34.3288089,32.58084623,38.99995876
